epoch,accuracy,dice_binary,loss,val_accuracy,val_dice_binary,val_loss
0,0.8811447024345398,0.8465136885643005,0.27833080291748047,0.8576284050941467,0.7979403734207153,0.36807262897491455
1,0.881033182144165,0.8459609150886536,0.27889272570610046,0.88692706823349,0.8357540965080261,0.29702362418174744
2,0.9025055170059204,0.8756144046783447,0.23545174300670624,0.8833376169204712,0.8204126358032227,0.28751301765441895
3,0.8973698019981384,0.8650649189949036,0.24471250176429749,0.8992236852645874,0.8457719683647156,0.25729042291641235
4,0.9109324812889099,0.8859108090400696,0.2157423347234726,0.8833038806915283,0.8149968981742859,0.28015297651290894
5,0.9168821573257446,0.8886271119117737,0.2043987214565277,0.9008110761642456,0.8449458479881287,0.27548596262931824
6,0.9217748045921326,0.8989887833595276,0.19396935403347015,0.8822963833808899,0.8104904294013977,0.2838556170463562
7,0.9244418144226074,0.8977552652359009,0.18787702918052673,0.8867184519767761,0.8165881037712097,0.27239280939102173
8,0.931299090385437,0.9105264544487,0.17016884684562683,0.8893108367919922,0.8225341439247131,0.28071537613868713
9,0.9303169846534729,0.9057006239891052,0.17511682212352753,0.8910437822341919,0.8246071338653564,0.26128602027893066
