epoch,accuracy,dice_binary,loss,val_accuracy,val_dice_binary,val_loss
0,0.6194381713867188,0.2040414810180664,0.6325002312660217,0.6156056523323059,0.37460821866989136,0.6267593502998352
1,0.7259130477905273,0.5414764285087585,0.5284972190856934,0.7379224896430969,0.6282537579536438,0.5409348011016846
2,0.7542122006416321,0.6478584408760071,0.5168953537940979,0.7311246991157532,0.6418668031692505,0.553403377532959
3,0.764854371547699,0.6290251016616821,0.48919373750686646,0.7158186435699463,0.5754648447036743,0.542053759098053
4,0.7560405731201172,0.6447874903678894,0.5021236538887024,0.7272612452507019,0.6162524819374084,0.5317054390907288
5,0.7660961747169495,0.6350374221801758,0.48421385884284973,0.7133739590644836,0.5799921154975891,0.54091477394104
6,0.754629373550415,0.6478346586227417,0.5007345676422119,0.7239161133766174,0.6020616888999939,0.5362913608551025
7,0.7745711207389832,0.6548205018043518,0.4700624942779541,0.7309799194335938,0.6189237236976624,0.511243462562561
8,0.7750933170318604,0.684829831123352,0.4685955345630646,0.7564483284950256,0.692459762096405,0.5176443457603455
9,0.8113919496536255,0.7215052247047424,0.4119319021701813,0.7964891791343689,0.7477418184280396,0.45023977756500244
