epoch,accuracy,dice_binary,loss,val_accuracy,val_dice_binary,val_loss
0,0.8099671006202698,0.7334527969360352,0.4141598343849182,0.8206443786621094,0.790787935256958,0.4297454357147217
1,0.836486279964447,0.7599225044250488,0.3637070655822754,0.820321798324585,0.7669205069541931,0.3995569050312042
2,0.8372291326522827,0.7780970335006714,0.36393967270851135,0.7749739289283752,0.6805227994918823,0.4575516879558563
3,0.8548909425735474,0.7875511050224304,0.3288591206073761,0.8033527731895447,0.7251303195953369,0.388303279876709
4,0.8591228127479553,0.8070947527885437,0.3203302025794983,0.7386736869812012,0.6027212142944336,0.5827082991600037
5,0.8715998530387878,0.8126847743988037,0.29661741852760315,0.8327645063400269,0.7820506691932678,0.34254783391952515
6,0.8715822696685791,0.8210554122924805,0.29419463872909546,0.7877487540245056,0.7053579092025757,0.41047659516334534
7,0.888024091720581,0.8367919325828552,0.26413658261299133,0.8496595621109009,0.8097069263458252,0.3373090624809265
8,0.8910822868347168,0.8459711670875549,0.2563968300819397,0.8436685800552368,0.8046680092811584,0.3580118715763092
9,0.9045734405517578,0.8600401282310486,0.2316708266735077,0.8611834049224854,0.832281231880188,0.36897921562194824
