epoch,accuracy,dice_binary,loss,val_accuracy,val_dice_binary,val_loss
0,0.9679735898971558,0.9564226865768433,0.08349303901195526,0.9713072180747986,0.9521406888961792,0.08509261161088943
1,0.971769392490387,0.9614928960800171,0.07419569045305252,0.9738235473632812,0.9554650187492371,0.07267118990421295
2,0.975355863571167,0.9662109613418579,0.06513422727584839,0.974532425403595,0.9568564295768738,0.07097914069890976
3,0.9760209321975708,0.9671897292137146,0.06416990607976913,0.9733712077140808,0.9547214508056641,0.07590393722057343
4,0.9767597913742065,0.9685012102127075,0.0623246505856514,0.9730145335197449,0.9543753862380981,0.07783200591802597
5,0.9747320413589478,0.9641463756561279,0.06826377660036087,0.9622710943222046,0.9372352361679077,0.12669958174228668
6,0.9716550707817078,0.9613508582115173,0.07470561563968658,0.9583688974380493,0.9317526817321777,0.11782883107662201
7,0.9731270670890808,0.9629508852958679,0.07131070643663406,0.9680477976799011,0.9465497136116028,0.09156319499015808
8,0.9753556251525879,0.9657391905784607,0.06509891152381897,0.9678816795349121,0.9465746283531189,0.09187617897987366
9,0.9776769876480103,0.9687621593475342,0.06032648682594299,0.9704003930091858,0.9499258995056152,0.08707444369792938
