epoch,accuracy,dice_binary,loss,val_accuracy,val_dice_binary,val_loss
0,0.9548338651657104,0.9376848936080933,0.1264042854309082,0.9721221327781677,0.9632543921470642,0.08230934292078018
1,0.9715004563331604,0.9548649787902832,0.0769621878862381,0.9663795232772827,0.9528446197509766,0.08145803958177567
2,0.9720292091369629,0.9576065540313721,0.0744319036602974,0.9694901704788208,0.957948625087738,0.07514392584562302
3,0.9753212332725525,0.9602091908454895,0.06617993861436844,0.962344229221344,0.9467998147010803,0.0941065102815628
4,0.9749830365180969,0.9612448215484619,0.06752204895019531,0.9664535522460938,0.9533945918083191,0.0840441957116127
5,0.9760668277740479,0.9621130228042603,0.06549017131328583,0.966583788394928,0.9538562893867493,0.088944211602211
6,0.9727574586868286,0.9585066437721252,0.07438801229000092,0.9714092016220093,0.9625203013420105,0.08413659036159515
7,0.9734869599342346,0.95710289478302,0.07265669852495193,0.9717203378677368,0.9627475142478943,0.0797538086771965
8,0.9709948301315308,0.9539207816123962,0.07876908779144287,0.8955062627792358,0.8810945153236389,0.5344821214675903
9,0.9612571597099304,0.9428824186325073,0.10174290090799332,0.9647145867347717,0.9532195329666138,0.09290159493684769
